codigo_producto,nombre_producto,categoria,apariciones_visibles,clientes
OT-UTE899-12361,PEARL CONTENEDOR DE PLÁSTICO PARA ARROZ HB-3898,Utensilios,37,31
OT-UTE899-12362,PEARL VASO DE PLÁSTICO PARA MEDIR ARROZ CC-1055,Utensilios,3,3
OT-UTE899-12363,PEARL RALLADOR DE PLÁSTICO PARA VERDURAS CC-1018,Utensilios,7,7
OT-UTE899-12364,PEARL RALLADOR DE PLÁSTICO PARA VERDURAS CC-1017,Utensilios,7,6
OT-UTE899-12376,FUGETSU CHASEN BATIDOR DE TÉ MATCHA PLÁSTICO,Utensilios,4,4
OT-UTE899-12378,PEARL OLLA DE ALUMINIO CON SEPARACIÓN 28CM HB-6588,Utensilios,8,8
OT-UTE899-12379,SHIZUKAN CONTENEDOR DE TÉ ROSA,Utensilios,1,1
OT-UTE899-12380,SHIZUKAN CONTENEDOR DE TÉ NARANJA,Utensilios,1,1
OT-UTE899-12381,SHIZUKAN CONTENEDOR DE TÉ AMARILLO,Utensilios,1,1
OT-UTE899-12382,SHIZUKAN CONTENEDOR DE TÉ VERDE LIMÓN,Utensilios,2,2
OT-UTE899-12384,SHIZUKAN CONTENEDOR DE TÉ AZUL CIELO,Utensilios,2,2
OT-UTE899-12385,SHIZUKAN CONTENEDOR DE TÉ AZUL CLARO,Utensilios,2,2
OT-UTE899-12386,SHIZUKAN CONTENEDOR DE TÉ BEIGE,Utensilios,1,1
OT-UTE899-12387,SHIZUKAN CONTENEDOR DE TÉ BLANCO,Utensilios,1,1
OT-UTE899-12388,SHIZUKAN CONTENEDOR DE TÉ VERDE BANDERA,Utensilios,2,2
OT-UTE899-12523,ENDO SET DE COLADOR Y CUCHARÓN <BMS-04>,Utensilios,4,4
OT-UTE899-12524,ENDO RASPADOR DE RALLADOR <BOL-96>,Utensilios,2,2
OT-UTE899-12525,ENDO PINZA PARA OLLAR DE PIEDRA <AYT-13>,Utensilios,3,2
OT-UTE899-12530,ENDO PORTA PALILLOS NEGRO <RHS-R8>,Utensilios,2,2
OT-UTE899-12532,ENDO PAPEL PARA COCINA 500 HOJAS <QKI-84>,Utensilios,4,3
OT-UTE899-12533,ENDO PAPEL PARA COCINA 200 HOJAS <QKI-87>,Utensilios,2,2
OT-UTE899-12615,ENDO ESPÁTULA DE ACERO INOXIDABLE GRANDE <GOK-02>,Utensilios,7,6
OT-UTE899-12616,ENDO DISPENSADOR PARA SALSA DE SOYA MEDIANO <PEM-C0>,Utensilios,7,6
OT-UTE899-12620,ENDO TAPA DOMO DE COBRE PARA CARNE 27 CM <PST-16>,Utensilios,1,1
OT-UTE899-12634,IWATANI ESTUFA PORTATIL VA-30,Utensilios,7,6
OT-UTE899-12637,IWATANI TORCHBURNER CB-TC-CKGR,Utensilios,13,13
OT-UTE899-12659,TANAKA BANDEJA SAKURA RECTÁNGULO 044453,Utensilios,25,24
OT-UTE899-12660,TANAKA BANDEJA SAKURA MEDIA LUNA 044460,Utensilios,17,16
OT-UTE899-12702,ENDO PIEDRA P/AFILAR #4000 <ATI-04>,Otros,8,8
OT-UTE899-12706,ENDO CUCHILLO PARA COCINA MAGURO KIRI 54 CM <AYK-35>,Utensilios,1,1
OT-UTE899-12711,CP TAZÓN DESECHABLE PARA RAMEN NEGRO VK-760 50 P,Utensilios,3,2
OT-UTE899-12712,CP TAZÓN DESECHABLE PARA RAMEN ROJO VK-760 50 P,Utensilios,3,2
OT-UTE899-12974,ENDO RALLADOR ACERO ACERO INOXIDABLE (M) <BOL-81>,Utensilios,9,9
OT-UTE899-12975,ENDO RALLADOR ALUMINIO (MINI) <BOL-07>,Utensilios,2,2
OT-UTE899-1309,PANASONIC INNER MOD. SR-42HP,Utensilios,1,1
OT-UTE899-13167,TRUPER CILINDRO DE GAS 220 G,Utensilios,60,57
OT-UTE899-13237,EZ COOKER BOWL 30 PZ,Utensilios,207,176
OT-UTE899-13238,EZ COOKER TAPA BOWL 60 PZ,Utensilios,37,36
OT-UTE899-13239,EZ COOKER BOWL BOLSA DE PLASTICO 100PZ,Utensilios,6,4
OT-UTE899-13240,EZ COOKER FILTRO DE AGUA 1 PZ,Utensilios,1,1
OT-UTE899-13285,SM PLATO PARA TOALLA OSB1,Otros,1,1
OT-UTE899-13299,ECHO JUEGO DE CUCHARAS 4P 0499-365,Utensilios,116,108
OT-UTE899-13300,ECHO VOLTEADOR 0349-394,Utensilios,33,32
OT-UTE899-13427,SM PLATO PARA SASHIMI 15A-BR,Utensilios,8,8
OT-UTE899-13428,SM SET DE VASO PARA SAKE KC8-AS2,Utensilios,19,18
OT-UTE899-13487,SK BOWL DE PIEDRA PARA BIBIMBAP,Utensilios,2,2
OT-UTE899-13588,KANEMASU TAZA PARA TÉ MATCHA KARATSU KATAKUCHI,Utensilios,5,5
OT-UTE899-13589,KANEMASU TAZA PARA TÉ MATCHA MOMOYAMA,Utensilios,3,3
OT-UTE899-13590,KANEMASU TAZA PARA TÉ MATCHA SEIRYU TENMOKU KATAKUCHI,Utensilios,7,6
OT-UTE899-13591,KANEMASU TAZA PARA TÉ SHIROHAKE KATAKUCHI,Utensilios,1,1
OT-UTE899-13592,KANEMASU TAZA PARA TÉ BIZENFUU KATAKUCHI CHUBACHI,Utensilios,3,3
OT-UTE899-13593,KANEMASU TAZA PARA TÉ MATCHA YOUHEN KON,Utensilios,2,2
OT-UTE899-13594,KANEMASU TAZA PARA TÉ MATCHA AKAFUKI TENMOKU,Utensilios,3,2
OT-UTE899-13996,ENDO ARUMI OROSHIGANE,Utensilios,4,4
OT-UTE899-13999,ENDO GURUMEN HASHI <RHS-Q9>,Utensilios,5,4
OT-UTE899-14001,TANAKA GLASS HASHIOKI FUJISAN&SAKURA NO. 521305,Utensilios,2,2
OT-UTE899-14002,TANAKA GLASS HASHIOKI FUJISAN&KOUYOU NO. 521329,Utensilios,2,2
OT-UTE899-14003,TANAKA GLASS HASHIOKI RYU No.521404,Utensilios,3,3
OT-UTE899-14004,TANAKA GLASS HASHIOKI HOKUSAI NAMI NO. 521350,Utensilios,1,1
OT-UTE899-14102,ENDO COLADOR DE ACERO INOXIDABLE PARA FIDEOS (ATB-13),Utensilios,7,6
OT-UTE899-14105,ENDO BANDEJA DE ALUMINIO 60 (AGY-07) 41 X 31 X 6,Otros,1,1
OT-UTE899-14106,ENDO BANDEJA DE ALUMINIO 50 (AGY-07) 41 X 31 X 5,Otros,1,1
OT-UTE899-14107,ENDO BANDEJA DE ALUMINIO 40 (AGY-07) 41 X 31 X 4,Otros,1,1
OT-UTE899-14108,ENDO TAPADERA DE BANDEJA DE ALUMINO (AGY-08) 42 X 32 X 16,Otros,1,1
OT-UTE899-14223,KOKKU PALILLOS DE PLASTICO A53-24,Utensilios,22,21
OT-UTE899-14224,KOKKU PALILLOS DE PLASTICO A53-26,Utensilios,16,16
OT-UTE899-14225,KOKKU PALILLOS DE PLASTICO A31-1,Utensilios,21,20
OT-UTE899-14226,KOKKU PALILLOS DE PLASTICO A31-5,Utensilios,24,22
OT-UTE899-14227,KOKKU PALILLOS DE PLASTICO A31-12,Utensilios,21,21
OT-UTE899-14228,KOKKU PALILLOS DE PLASTICO A31-17,Utensilios,19,19
OT-UTE899-14241,KOKKU VAPORERA DE BAMBOO #6 W18-15-6,Utensilios,2,2
OT-UTE899-14242,KOKKU VAPORERA DE BAMBOO #8 W18-15-8,Utensilios,1,1
OT-UTE899-14245,KOKKU SET DE MATCHA VERDE 5 PZ MT-21GR,Utensilios,5,5
OT-UTE899-14309,ENDO MANTEL DESECHABLE P/MESA ( SUEHIRO ) AKAFUJI WH-1 100 PZAS,Otros,1,1
OT-UTE899-14310,ENDO MANTEL DESECHABLE P/MESA ( SUEHIRO ) TSUBAKI WH-2 100 PZAS,Otros,1,1
OT-UTE899-14311,ENDO MANTEL DESECHABLE P/MESA ( SUEHIRO ) SAKURA WH-9 100 PZAS,Otros,1,1
OT-UTE899-14312,ENDO MANTEL DESECHABLE P/MESA ( SUEHIRO ) BOTAN WH-15 100 PZAS,Otros,1,1
OT-UTE899-14366,SM BATIDOR WK-100N,Otros,1,1
OT-UTE899-1491,SHAMOJI PALITA PLAST 36 CM. MOD. YE-109,Utensilios,41,40
OT-UTE899-1576,"SM BAMBOO TEPPOU MOD. CMT2 7""",Utensilios,1,1
OT-UTE899-1725,"SM SQ WOODEN SAKE MASU 3.25"" MOD.OMS-100",Utensilios,2,2
OT-UTE899-1825,TAR HONG NSF CONSER MOD SEJ72000 40 CUP,Utensilios,1,1
OT-UTE899-2502,INOMATA PLASTIC CHOPSTICKS STAND RED 1144R,Otros,1,1
OT-UTE899-2628,SANADA PLASTIC DROP-LID FOR SIMMERING D-5840,Otros,1,1
OT-UTE899-2794,THE TOUICHI CERAMIC TEA POT 6-GO 128-887-20-B,Utensilios,1,1
OT-UTE899-2875,KATAOKA WATERSHARPENER SINGLE,Utensilios,3,3
OT-UTE899-2965,ECHO VOLTEADOR 0332-116,Utensilios,2,2
OT-UTE899-3443,FUJI JUEGO DE VAPORERA DE BAMBOO 3 PZAS 25.4 CM #10,Utensilios,48,48
OT-UTE899-3444,FUJI JUEGO DE VAPORERA DE BAMBOO 3 PZAS 30.48 CM #12,Utensilios,25,24
OT-UTE899-3640,SM CUCHARA DE PLASTICO 500 PZ,Utensilios,1,1
OT-UTE899-3779,KOHBEC CHAROLA CON ESCURRIDOR DE ACEITE 6439,Utensilios,1,1
OT-UTE899-4494,SOLO CUP VASO PORCION 4 OZ C/250 PZAS. P400,Utensilios,4,4
OT-UTE899-5455,SM MOLDE PARA OSHIZUSHI COMS-2,Utensilios,1,1
OT-UTE899-6640,PEARL OLLA L-1814,Utensilios,1,1
OT-UTE899-7135,PEARL SARTEN CON BASE HB-3025,Utensilios,1,1
OT-UTE899-7339,ECHO CUCHARON 0499-231,Utensilios,1,1
OT-UTE899-7894,BOLSART BOLSA ECOLOGICA CHICA (AZUL/ROSA) PZA,Utensilios,109,100
OT-UTE899-8016,SM TENEDOR EF7-K,Utensilios,1,1
OT-UTE899-8250,NAKAYA DISPENSADOR DE SALSA ROJO K369-1,Utensilios,80,75
OT-UTE899-8402,ENDO SARTEN PARA HUEVO DE ALUMINIUM JUMBO F-7059,Utensilios,1,1
OT-UTE899-8407,ENDO BASE PARA WOK,Utensilios,1,1
OT-UTE899-8413,ENDO PINZAS PARA ESPINA 105 MM,Utensilios,11,11
OT-UTE899-8414,ENDO COLADOR PARA SOPA DE RAMEN SA18-0 NO.5,Fideos y Pastas,1,1
OT-UTE899-8415,ENDO MORTERO DE CERÁMICA 6 GOU,Otros,8,8
OT-UTE899-8416,ENDO SARTÉN PARA HUEVO 21 CM,Utensilios,1,1
OT-UTE899-8975,SM BASE PARA ASAR JST-08,Utensilios,4,4
