codigo,piezas_por_caja,usado_en_portal
CO-PDM453-7171,48,NO
CO-PDM453-7172,48,NO
CO-PDM453-7173,48,NO
CO-PDM453-7174,48,NO
CO-PDM453-7175,48,NO
CO-PDM453-7176,48,NO
CO-PDM453-7695,48,NO
CO-PDM453-7696,50,NO
CO-PDM453-7697,50,NO
CO-PDM453-7698,48,NO
CO-PDM453-7699,120,NO
CO-PDM453-7702,100,NO
CO-PDM453-7703,100,NO
CO-PDM453-7704,96,NO
CO-PDM453-7705,96,NO
CO-PDM453-7810,20,NO
CO-PDM453-8076,36,NO
CO-PDM453-8077,24,NO
CO-PDM453-9274,50,NO
CO-PDM454-0612,12,NO
CO-PDM454-10684,4,SI
CO-PDM454-11486,12,NO
CO-PDM454-11590,12,SI
CO-PDM454-11612,24,SI
CO-PDM454-11613,24,SI
CO-PDM454-11614,6,NO
CO-PDM454-11615,5,NO
CO-PDM454-11616,64,NO
CO-PDM454-11617,64,NO
CO-PDM454-11661,30,SI
CO-PDM454-11662,30,SI
CO-PDM454-11663,30,SI
CO-PDM454-1521,24,NO
CO-PDM454-2339,12,SI
CO-PDM454-2340,12,SI
CO-PDM454-2341,12,SI
CO-PDM454-2853,50,NO
CO-PDM454-3597,8,NO
CO-PDM454-3985,12,SI
CO-PDM454-4042,8,NO
CO-PDM454-4899,4,NO
CO-PDM454-5224,12,NO
CO-PDM454-5742,24,NO
CO-PDM454-6248,32,NO
CO-PDM454-6376,24,NO
CO-PDM454-7808,20,NO
CO-PDM454-7809,200,NO
CO-PDM454-9727,24,NO
CO-PDM454-9728,8,SI
CO-PDM454-9745,4,NO
CO-PDM454-9772,8,NO
CO-PDM454-9902,12,SI
CO-PDM454-9903,12,SI
CO-PDM454-9922,10,NO
CO-PDM454-9939,12,SI
CO-PDM454-9940,12,SI
CO-PDM454-9941,12,NO
CO-PDM454-9942,12,SI
CO-PDM454-9943,12,SI
CO-PDM454-9953,12,NO
CO-PDM454-9954,12,SI
CO-PDM454-9955,12,NO
CO-PDM456-10321,20,NO
CO-PDM456-11156,30,NO
CO-PDM456-11157,24,NO
CO-PDM456-12455,13,SI
CO-PDM456-13869,40,SI
CO-PDM456-1388,80,SI
CO-PDM456-14095,40,SI
CO-PDM456-6233,120,NO
CO-PDM456-6234,120,NO
CO-PDM456-6241,100,NO
CO-PDM456-6242,12,NO
CO-PDM456-6245,48,NO
CO-PDM456-6246,60,NO
CO-PDM456-6250,48,NO
CO-PDM456-6825,36,NO
CO-PDM456-6826,72,NO
CO-PDM456-6827,72,NO
CO-PDM456-7047,36,NO
CO-PDM456-7053,12,NO
CO-PDM456-7071,15,NO
CO-PDM456-7087,100,NO
CO-PDM456-7088,12,NO
CO-PDM456-7089,48,NO
CO-PDM456-7090,48,NO
CO-PDM456-7091,48,NO
CO-PDM456-7092,48,NO
CO-PDM456-7094,75,NO
CO-PDM456-7182,12,NO
CO-PDM456-7700,30,NO
CO-PDM456-7706,96,NO
CO-PDM456-7707,60,NO
CO-PDM456-7805,10,NO
CO-PDM456-8065,24,NO
CO-PDM456-8078,125,NO
CO-PDM457-2852,20,NO
CO-PDM457-2861,30,NO
CO-PDM457-6247,100,NO
CO-PDM457-6249,120,NO
CO-PDM457-7806,80,NO
CO-PDM457-7807,80,NO
CO-PDM458-10299,40,NO
CO-PDM458-10300,40,NO
CO-PDM458-10931,10,SI
CO-PDM458-11118,12,NO
CO-PDM458-13870,40,SI
CO-PDM458-13871,40,SI
CO-PDM458-14636,12,NO
CO-PDM458-14637,12,NO
CO-PDM458-7166,60,NO
CO-PDM458-7168,60,NO
CO-PDM458-7169,20,NO
CO-PDM458-7170,20,NO
CO-PDM458-7244,20,NO
CO-PDM458-8066,40,NO
CO-PDM458-8067,40,NO
CO-PDM458-8068,40,NO
CO-PDM458-8069,40,NO
CO-PDM458-8070,40,NO
CO-PDM458-8071,40,NO
CO-PDM458-8072,40,NO
CO-PDM458-8073,40,NO
CO-PDM458-8074,40,NO
CO-PDM458-8075,40,NO
CO-PDM458-9766,12,SI
CO-PDM458-9767,12,SI
CO-PDM458-9804,12,SI
CO-PDM460-14315,2,NO
CO-PDM460-14316,10,NO
CO-PDM499-0655,30,SI
CO-PDM499-0656,60,SI
CO-PDM499-0669,30,SI
CO-PDM499-0671,30,SI
CO-PDM499-0675,30,SI
CO-PDM499-0768,48,SI
CO-PDM499-0769,60,SI
CO-PDM499-0770,60,SI
CO-PDM499-0772,50,NO
CO-PDM499-0774,16,SI
CO-PDM499-0776,50,SI
CO-PDM499-10462,24,NO
CO-PDM499-10736,25,SI
CO-PDM499-11153,120,NO
CO-PDM499-11154,16,NO
CO-PDM499-11271,36,NO
CO-PDM499-11272,36,NO
CO-PDM499-11391,16,NO
CO-PDM499-12458,14,SI
CO-PDM499-12586,10,SI
CO-PDM499-13025,8,SI
CO-PDM499-13641,10,SI
CO-PDM499-13642,14,SI
CO-PDM499-14286,10,NO
CO-PDM499-4152,20,NO
CO-PDM499-5315,10,NO
CO-PDM499-5316,4,NO
CO-PDM499-5317,10,NO
CO-PDM499-5318,4,NO
CO-PDM499-5319,8,NO
CO-PDM499-5321,12,NO
CO-PDM499-5323,24,NO
CO-PDM499-6120,50,SI
CO-PDM499-6861,10,NO
CO-PDM499-6862,8,NO
CO-PDM499-6863,8,NO
CO-PDM499-7070,18,NO
CO-PDM499-7072,15,NO
CO-PDM499-7177,36,NO
CO-PDM499-7178,36,NO
CO-PDM499-7179,48,NO
CO-PDM499-7180,36,NO
CO-PDM499-7701,48,NO
CO-SFP600-8376,8,SI
CO-SFP600-9797,6,NO
CO-SFP601-9805,5,NO
CO-SFP602-12571,10,SI
CO-SFP602-12572,10,SI
CO-SFP602-12573,10,SI
CO-SFP602-13513,10,SI
CO-SFP602-9035,8,SI
CO-SFP603-10059,8,NO
CO-SFP603-10316,8,NO
CO-SFP603-10453,8,NO
CO-SFP603-1094,8,NO
CO-SFP603-11223,6,NO
CO-SFP603-11489,8,SI
CO-SFP603-13476,48,SI
CO-SFP603-1534,8,SI
CO-SFP603-4127,8,SI
CO-SFP603-8117,8,SI
CO-SFP605-8377,8,SI
CO-SFP605-8378,8,SI
CO-SFP605-8379,8,SI
CO-SFP606-1141,12,NO
CO-SFP606-1143,12,SI
CO-SFP606-1144,12,SI
CO-SFP606-1145,12,NO
CO-SFP606-1146,12,NO
CO-SFP606-1147,12,SI
CO-SFP606-11784,24,SI
CO-SFP606-11785,24,NO
CO-SFP606-11786,24,SI
CO-SFP606-11787,24,SI
CO-SFP606-11788,24,NO
CO-SFP606-12465,24,SI
CO-SFP606-13091,28,SI
CO-SFP606-13124,6,SI
CO-SFP606-13125,6,SI
CO-SFP606-13126,6,SI
CO-SFP606-13127,8,SI
CO-SFP606-6017,12,NO
CO-SFP606-6018,12,NO
CO-SFP606-6019,12,NO
CO-SFP606-6020,12,SI
CO-SFP606-7121,8,SI
CO-SFP606-9789,12,SI
CO-SFP606-9790,12,SI
CO-SFP606-9827,12,SI
CO-SFP649-12875,12,NO
CO-SFP649-12877,12,NO
CO-SFP649-13461,12,SI
CO-SFP649-13882,12,SI
